ID,CalculatedPriority,TableSize,Changes,TimeSinceLastAnalyze,ChangeRatio
437,-0.2555,5000000,31905,10,0.0064
371,-0.2561,1000000,2500,10,0.0025
438,-0.2561,5000000,6381,60,0.0013
503,-0.2618,10000000,23811,60,0.0024
305,-0.2705,500000,268,10,0.0005
304,-0.2772,500000,134,10,0.0003
569,-0.2806,50000000,253250,60,0.0051
370,-0.2835,1000000,1250,10,0.0013
502,-0.2881,10000000,11905,60,0.0012
436,-0.2917,5000000,21270,10,0.0043
501,-0.2925,10000000,59526,10,0.0060
369,-0.3015,1000000,500,10,0.0005
368,-0.3078,1000000,250,10,0.0003
634,-0.3166,100000000,472470,60,0.0047
500,-0.3271,10000000,39684,10,0.0040
435,-0.3338,5000000,10635,10,0.0021
568,-0.3393,50000000,101300,60,0.0020
434,-0.3578,5000000,5317,10,0.0011
567,-0.3622,50000000,50650,60,0.0010
499,-0.3670,10000000,19842,10,0.0020
633,-0.3724,100000000,188988,60,0.0019
433,-0.3732,5000000,2127,10,0.0004
566,-0.3773,50000000,253248,10,0.0051
432,-0.3786,5000000,1063,10,0.0002
498,-0.3896,10000000,9921,10,0.0010
632,-0.3939,100000000,94494,60,0.0009
497,-0.4041,10000000,3968,10,0.0004
565,-0.4083,50000000,168832,10,0.0034
496,-0.4091,10000000,1984,10,0.0002
631,-0.4134,100000000,472470,10,0.0047
630,-0.4428,100000000,314980,10,0.0031
564,-0.4434,50000000,84416,10,0.0017
563,-0.4630,50000000,42208,10,0.0008
562,-0.4754,50000000,16883,10,0.0003
629,-0.4761,100000000,157490,10,0.0016
561,-0.4797,50000000,8441,10,0.0002
628,-0.4944,100000000,78745,10,0.0008
627,-0.5061,100000000,31498,10,0.0003
626,-0.5101,100000000,15749,10,0.0002
